datasetID,dimensions
EMSO-AZORES_Seamon-East_Optode-O2_2015-2016,timeseries
EMSO-AZORES_Seamon-East_Optode-O2_2015-2016,obs
EMSO-AZORES_Seamon-East_Optode-O2_2016-2017,timeseries
EMSO-AZORES_Seamon-East_Optode-O2_2016-2017,obs
EMSO-AZORES_Seamon-East_Optode-O2_2012-2013,timeseries
EMSO-AZORES_Seamon-East_Optode-O2_2012-2013,obs
EMSO-AZORES_Wetlabs_Turbidity_2011-2012,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2011-2012,obs
EMSO-AZORES_Wetlabs_Turbidity_2012-2013,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2012-2013,obs
EMSO-AZORES_Wetlabs_Turbidity_2013-2014,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2013-2014,obs
EMSO-AZORES_Wetlabs_Turbidity_2015-2016,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2015-2016,obs
EMSO-AZORES_Wetlabs_Turbidity_2016-2017,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2016-2017,obs
EMSO-AZORES_Wetlabs_Turbidity_2017-2018,timeseries
EMSO-AZORES_Wetlabs_Turbidity_2017-2018,obs
Emso_Western_Ligurian_Bathybot_Optodes_NetCDF_2023,timeseries
Emso_Western_Ligurian_Bathybot_Optodes_NetCDF_2023,obs
Emso_Western_Ligurian_Bathybot_Optodes_NetCDF_2023,station_id_strlen
Emso_Western_Ligurian_Bathybot_ADCP_NetCDF_2023,timeseries
Emso_Western_Ligurian_Bathybot_ADCP_NetCDF_2023,obs
Emso_Western_Ligurian_Bathybot_ADCP_NetCDF_2023,station_id_strlen
Emso_Western_Ligurian_Bathybot_Aquadopp_NetCDF_2023,timeseries
Emso_Western_Ligurian_Bathybot_Aquadopp_NetCDF_2023,obs
Emso_Western_Ligurian_Bathybot_Aquadopp_NetCDF_2023,station_id_strlen
Emso_Western_Ligurian_Bathybot_Microcat_NetCDF_2023,timeseries
Emso_Western_Ligurian_Bathybot_Microcat_NetCDF_2023,obs
Emso_Western_Ligurian_Bathybot_Microcat_NetCDF_2023,station_id_strlen
EMSO_OBSEA_Besos_Buoy_C3_30min,row
EMSO_OBSEA_Besos_Buoy_C3_full,row
E1M3A_20070528_20080226,timeseries
E1M3A_20070528_20080226,obs
E1M3A_20080227_20090725,timeseries
E1M3A_20080227_20090725,obs
E1M3A_20090726_20100707,timeseries
E1M3A_20090726_20100707,obs
E1M3A_20100708_20110827,timeseries
E1M3A_20100708_20110827,obs
E1M3A_20110828_20130521,timeseries
E1M3A_20110828_20130521,obs
E1M3A_20130522_20141009,timeseries
E1M3A_20130522_20141009,obs
E1M3A_20141010_20160712,timeseries
E1M3A_20141010_20160712,obs
E1M3A_20160713_20170415,timeseries
E1M3A_20160713_20170415,obs
E1M3A_20170416_20180623,timeseries
E1M3A_20170416_20180623,obs
E1M3A_20180624_20190717,timeseries
E1M3A_20180624_20190717,obs
E1M3A_20190718_20201126,timeseries
E1M3A_20190718_20201126,obs
E1M3A_20201127_20210912,timeseries
E1M3A_20201127_20210912,obs
E1M3A_20210913_20221201,timeseries
E1M3A_20210913_20221201,obs
E1M3A_20221202_20240312,timeseries
E1M3A_20221202_20240312,obs
E1M3A_20240313_NRT,timeseries
E1M3A_20240313_NRT,obs
Pylos_20071109_20080227,timeseries
Pylos_20071109_20080227,obs
Pylos_20080228_20081109,timeseries
Pylos_20080228_20081109,obs
Pylos_20081110_20090303,timeseries
Pylos_20081110_20090303,obs
Pylos_20090304_20091128,timeseries
Pylos_20090304_20091128,obs
Pylos_20091129_20100709,timeseries
Pylos_20091129_20100709,obs
Pylos_20100710_20110227,timeseries
Pylos_20100710_20110227,obs
Pylos_20110228_20120212,timeseries
Pylos_20110228_20120212,obs
Pylos_20120213_20130411,timeseries
Pylos_20120213_20130411,obs
Pylos_20130412_20140117,timeseries
Pylos_20130412_20140117,obs
Pylos_20140118_20141114,timeseries
Pylos_20140118_20141114,obs
Pylos_20141115_20150708,timeseries
Pylos_20141115_20150708,obs
Pylos_20150709_20160714,timeseries
Pylos_20150709_20160714,obs
Pylos_20160715_20170415,timeseries
Pylos_20160715_20170415,obs
Pylos_20170416_20180521,timeseries
Pylos_20170416_20180521,obs
Pylos_20180522_20190721,timeseries
Pylos_20180522_20190721,obs
Pylos_20190722_20200901,timeseries
Pylos_20190722_20200901,obs
Pylos_20200902_20210909,timeseries
Pylos_20200902_20210909,obs
Pylos_20210910_20221220,timeseries
Pylos_20210910_20221220,obs
Pylos_20221221_NRT,timeseries
Pylos_20221221_NRT,obs
EMSO_Western_Ionian_Sea_CTD_2002_2003,timeseries
EMSO_Western_Ionian_Sea_CTD_2002_2003,obs
EMSO_Western_Ionian_Sea_CTD_2012_2013,timeseries
EMSO_Western_Ionian_Sea_CTD_2012_2013,obs
EMSO_Western_Ionian_Sea_PRESSURE_GAUGE_2012_2013,timeseries
EMSO_Western_Ionian_Sea_PRESSURE_GAUGE_2012_2013,obs
EMSO_OBSEA_Besos_Buoy_SA8065_30min,row
EMSO_OBSEA_Besos_Buoy_SA8065_full,row
smartbay_obs_hour_mean,timeseries
smartbay_obs_hour_mean,obs
smartbay_obs_hour_mean,midgid_strlen
smartbay_obs_hour_mean,station_id_strlen
smartbay_obs_pco2_contros,timeseries
smartbay_obs_pco2_contros,obs
smartbay_obs_pco2_contros,midgid_strlen
smartbay_obs_pco2_contros,instrument_id_strlen
smartbay_obs_pco2_contros,station_id_strlen
smartbay_obs_acoustic,timeseries
smartbay_obs_acoustic,obs
smartbay_obs_acoustic,midgid_strlen
smartbay_obs_acoustic,instrument_id_strlen
smartbay_obs_acoustic,station_id_strlen
smartbay_obs_ctd_idronaut,timeseries
smartbay_obs_ctd_idronaut,obs
smartbay_obs_ctd_idronaut,midgid_strlen
smartbay_obs_ctd_idronaut,instrument_id_strlen
smartbay_obs_ctd_idronaut,station_id_strlen
smartbay_obs_ctd_sbe16,timeseries
smartbay_obs_ctd_sbe16,obs
smartbay_obs_ctd_sbe16,midgid_strlen
smartbay_obs_ctd_sbe16,instrument_id_strlen
smartbay_obs_ctd_sbe16,station_id_strlen
smartbay_obs_fluorometer_ecofl,timeseries
smartbay_obs_fluorometer_ecofl,obs
smartbay_obs_fluorometer_ecofl,midgid_strlen
smartbay_obs_fluorometer_ecofl,instrument_id_strlen
smartbay_obs_fluorometer_ecofl,station_id_strlen
EMSO_OBSEA_NAXYS_SPL_30min,row
