datasetID,globalattributes
E2M3A_PCO2PROW,geospatial_lon_min
E2M3A_PCO2PROW,geospatial_lon_units
E2M3A_PCO2PROW,geospatial_vertical_max
E2M3A_PCO2PROW,geospatial_vertical_min
E2M3A_PCO2PROW,geospatial_vertical_positive
E2M3A_PCO2PROW,geospatial_vertical_units
E2M3A_PCO2PROW,history
E2M3A_PCO2PROW,id
E2M3A_PCO2PROW,infoUrl
E2M3A_PCO2PROW,institution
E2M3A_PCO2PROW,institution_edmo_code
E2M3A_PCO2PROW,institution_edmo_uri
E2M3A_PCO2PROW,keywords
E2M3A_PCO2PROW,keywords_vocabulary
E2M3A_PCO2PROW,license
E2M3A_PCO2PROW,license_uri
E2M3A_PCO2PROW,network
E2M3A_PCO2PROW,Northernmost_Northing
E2M3A_PCO2PROW,platform_code
E2M3A_PCO2PROW,principal_investigator
E2M3A_PCO2PROW,principal_investigator_email
E2M3A_PCO2PROW,site_code
E2M3A_PCO2PROW,source
E2M3A_PCO2PROW,source_platform_category_code
E2M3A_PCO2PROW,sourceUrl
E2M3A_PCO2PROW,Southernmost_Northing
E2M3A_PCO2PROW,standard_name_vocabulary
E2M3A_PCO2PROW,summary
E2M3A_PCO2PROW,time_coverage_end
E2M3A_PCO2PROW,time_coverage_start
E2M3A_PCO2PROW,title
E2M3A_PCO2PROW,update_interval
E2M3A_PCO2PROW,Westernmost_Easting
E2M3A_PCO2PROW,wmo_platform_code
E2M3A_SAMI,cdm_data_type
E2M3A_SAMI,cdm_timeseries_variables
E2M3A_SAMI,Conventions
E2M3A_SAMI,creator_email
E2M3A_SAMI,creator_type
E2M3A_SAMI,creator_url
E2M3A_SAMI,data_mode
E2M3A_SAMI,data_type
E2M3A_SAMI,date_created
E2M3A_SAMI,Easternmost_Easting
E2M3A_SAMI,emso_facility
E2M3A_SAMI,featureType
E2M3A_SAMI,format_version
E2M3A_SAMI,geospatial_lat_max
E2M3A_SAMI,geospatial_lat_min
E2M3A_SAMI,geospatial_lat_units
E2M3A_SAMI,geospatial_lon_max
E2M3A_SAMI,geospatial_lon_min
E2M3A_SAMI,geospatial_lon_units
E2M3A_SAMI,geospatial_vertical_max
E2M3A_SAMI,geospatial_vertical_min
E2M3A_SAMI,geospatial_vertical_positive
E2M3A_SAMI,geospatial_vertical_units
E2M3A_SAMI,history
E2M3A_SAMI,id
E2M3A_SAMI,infoUrl
E2M3A_SAMI,institution
E2M3A_SAMI,institution_edmo_code
E2M3A_SAMI,institution_edmo_uri
E2M3A_SAMI,keywords
E2M3A_SAMI,keywords_vocabulary
E2M3A_SAMI,license
E2M3A_SAMI,license_uri
E2M3A_SAMI,network
E2M3A_SAMI,Northernmost_Northing
E2M3A_SAMI,platform_code
E2M3A_SAMI,principal_investigator
E2M3A_SAMI,principal_investigator_email
E2M3A_SAMI,site_code
E2M3A_SAMI,source
E2M3A_SAMI,source_platform_category_code
E2M3A_SAMI,sourceUrl
E2M3A_SAMI,Southernmost_Northing
E2M3A_SAMI,standard_name_vocabulary
E2M3A_SAMI,summary
E2M3A_SAMI,time_coverage_end
E2M3A_SAMI,time_coverage_start
E2M3A_SAMI,title
E2M3A_SAMI,update_interval
E2M3A_SAMI,Westernmost_Easting
E2M3A_SAMI,wmo_platform_code
E2M3A_SBE16PLS,cdm_data_type
E2M3A_SBE16PLS,cdm_timeseries_variables
E2M3A_SBE16PLS,Conventions
E2M3A_SBE16PLS,creator_email
E2M3A_SBE16PLS,creator_type
E2M3A_SBE16PLS,creator_url
E2M3A_SBE16PLS,data_mode
E2M3A_SBE16PLS,data_type
E2M3A_SBE16PLS,date_created
E2M3A_SBE16PLS,Easternmost_Easting
E2M3A_SBE16PLS,emso_facility
E2M3A_SBE16PLS,featureType
E2M3A_SBE16PLS,format_version
E2M3A_SBE16PLS,geospatial_lat_max
E2M3A_SBE16PLS,geospatial_lat_min
E2M3A_SBE16PLS,geospatial_lat_units
E2M3A_SBE16PLS,geospatial_lon_max
E2M3A_SBE16PLS,geospatial_lon_min
E2M3A_SBE16PLS,geospatial_lon_units
E2M3A_SBE16PLS,geospatial_vertical_max
E2M3A_SBE16PLS,geospatial_vertical_min
E2M3A_SBE16PLS,geospatial_vertical_positive
E2M3A_SBE16PLS,geospatial_vertical_units
E2M3A_SBE16PLS,history
E2M3A_SBE16PLS,id
E2M3A_SBE16PLS,infoUrl
E2M3A_SBE16PLS,institution
E2M3A_SBE16PLS,institution_edmo_code
E2M3A_SBE16PLS,institution_edmo_uri
E2M3A_SBE16PLS,keywords
E2M3A_SBE16PLS,keywords_vocabulary
E2M3A_SBE16PLS,license
E2M3A_SBE16PLS,license_uri
E2M3A_SBE16PLS,network
E2M3A_SBE16PLS,Northernmost_Northing
E2M3A_SBE16PLS,platform_code
E2M3A_SBE16PLS,principal_investigator
E2M3A_SBE16PLS,principal_investigator_email
E2M3A_SBE16PLS,site_code
E2M3A_SBE16PLS,source
