datasetID,variables
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_2
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PHPH
E2M3A_CTD_meteo_CO2_pH_NRT,PHPH_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_3
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_3_QC
E2M3A_CTD_meteo_CO2_pH_NRT,CNDC_1
E2M3A_CTD_meteo_CO2_pH_NRT,CNDC_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PRES
E2M3A_CTD_meteo_CO2_pH_NRT,PRES_QC
E2M3A_CTD_meteo_CO2_pH_NRT,DOX1_1
E2M3A_CTD_meteo_CO2_pH_NRT,DOX1_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_2
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,SVEL_1
E2M3A_CTD_meteo_CO2_pH_NRT,SVEL_1_QC
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_4
E2M3A_CTD_meteo_CO2_pH_NRT,TEMP_4_QC
E2M3A_CTD_meteo_CO2_pH_NRT,CNDC_2
E2M3A_CTD_meteo_CO2_pH_NRT,CNDC_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,DOX1_2
E2M3A_CTD_meteo_CO2_pH_NRT,DOX1_2_QC
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_3
E2M3A_CTD_meteo_CO2_pH_NRT,PSAL_3_QC
E2M3A_CTD_meteo_CO2_pH_NRT,SVEL_2
E2M3A_CTD_meteo_CO2_pH_NRT,SVEL_2_QC
E2M3A_2021_2022_TS,time
E2M3A_2021_2022_TS,latitude
E2M3A_2021_2022_TS,longitude
E2M3A_2021_2022_TS,depth
E2M3A_2021_2022_TS,rowSize
E2M3A_2021_2022_TS,WDIR
E2M3A_2021_2022_TS,WDIR_QC
E2M3A_2021_2022_TS,WSPD
E2M3A_2021_2022_TS,WSPD_QC
E2M3A_2021_2022_TS,DRYT
E2M3A_2021_2022_TS,DRYT_QC
E2M3A_2021_2022_TS,ATMS
E2M3A_2021_2022_TS,ATMS_QC
E2M3A_2021_2022_TS,RELH
E2M3A_2021_2022_TS,RELH_QC
E2M3A_2021_2022_TS,GSPD
E2M3A_2021_2022_TS,GSPD_QC
E2M3A_2021_2022_TS,GDIR
E2M3A_2021_2022_TS,GDIR_QC
E2M3A_2021_2022_TS,PHPH
E2M3A_2021_2022_TS,PHPH_QC
E2M3A_2021_2022_TS,DOX1
E2M3A_2021_2022_TS,DOX1_QC
E2M3A_2021_2022_TS,TEMP
E2M3A_2021_2022_TS,TEMP_QC
E2M3A_2021_2022_TS,CNDC
E2M3A_2021_2022_TS,CNDC_QC
E2M3A_2021_2022_TS,PSAL
E2M3A_2021_2022_TS,PSAL_QC
E2M3A_2021_2022_TS,PRES
E2M3A_2021_2022_TS,PRES_QC
E2M3A_2021_2022_TS,PCO2
E2M3A_2021_2022_TS,PCO2_QC
E2M3A_2021_2022_TS,SINC
E2M3A_2021_2022_TS,SINC_QC
E2M3A_2021_2022_TS,LINC
E2M3A_2021_2022_TS,LINC_QC
Emso_Azores_Chemini_IRON,platform_code
Emso_Azores_Chemini_IRON,latitude
Emso_Azores_Chemini_IRON,longitude
Emso_Azores_Chemini_IRON,rowSize
Emso_Azores_Chemini_IRON,platform_name
Emso_Azores_Chemini_IRON,time
Emso_Azores_Chemini_IRON,TIME_QC
Emso_Azores_Chemini_IRON,depth
Emso_Azores_Chemini_IRON,DEPH_QC
Emso_Azores_Chemini_IRON,TEMP
Emso_Azores_Chemini_IRON,TEMP_QC
Emso_Azores_Chemini_IRON,IRON
Emso_Azores_Chemini_IRON,IRON_QC
EMSO-AZORES_TCM3-1_2016-2017,latitude
EMSO-AZORES_TCM3-1_2016-2017,longitude
EMSO-AZORES_TCM3-1_2016-2017,depth
EMSO-AZORES_TCM3-1_2016-2017,rowSize
EMSO-AZORES_TCM3-1_2016-2017,time
EMSO-AZORES_TCM3-1_2016-2017,TIME_QC
