DatasetID,Variable Name,Data Type,Value
SDC_NAT_CLIM_TS_V1_025_s,latitude,['float'],"['nValues=209, evenlySpaced=true, averageSpacing=0.25']"
SDC_NAT_CLIM_TS_V1_025_s,longitude,['float'],"['nValues=389, evenlySpaced=true, averageSpacing=0.25']"
SDC_NAT_CLIM_TS_V1_025_s,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=805 days 21h 54m 47s']"
SDC_NAT_CLIM_TS_V1_050_m,depth,['float'],"['nValues=107, evenlySpaced=false, averageSpacing=-56.60377358490566']"
SDC_NAT_CLIM_TS_V1_050_m,latitude,['float'],"['nValues=105, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V1_050_m,longitude,['float'],"['nValues=195, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V1_050_m,time,['double'],"['nValues=72, evenlySpaced=false, averageSpacing=261 days 22h 18m 35s']"
SDC_NAT_CLIM_TS_V1_050_s,depth,['float'],"['nValues=107, evenlySpaced=false, averageSpacing=-56.60377358490566']"
SDC_NAT_CLIM_TS_V1_050_s,latitude,['float'],"['nValues=105, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V1_050_s,longitude,['float'],"['nValues=195, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V1_050_s,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=805 days 21h 54m 47s']"
SDC_NAT_CLIM_TS_V2_050_m,depth,['double'],"['nValues=65, evenlySpaced=false, averageSpacing=31.25']"
SDC_NAT_CLIM_TS_V2_050_m,latitude,['double'],"['nValues=111, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V2_050_m,longitude,['double'],"['nValues=211, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V2_050_m,time,['double'],"['nValues=84, evenlySpaced=false, averageSpacing=268 days 1h 26m 45s']"
SDC_NAT_CLIM_TS_V2_050_s,depth,['double'],"['nValues=65, evenlySpaced=false, averageSpacing=31.25']"
SDC_NAT_CLIM_TS_V2_050_s,latitude,['double'],"['nValues=111, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V2_050_s,longitude,['double'],"['nValues=211, evenlySpaced=true, averageSpacing=0.5']"
SDC_NAT_CLIM_TS_V2_050_s,time,['double'],"['nValues=28, evenlySpaced=false, averageSpacing=821 days 18h 40m 0s']"
SDC_NS_CLIM_TS_V1_m,depth,['double'],"['nValues=41, evenlySpaced=false, averageSpacing=17.5']"
SDC_NS_CLIM_TS_V1_m,latitude,['double'],"['nValues=109, evenlySpaced=true, averageSpacing=0.125']"
SDC_NS_CLIM_TS_V1_m,longitude,['double'],"['nValues=113, evenlySpaced=true, averageSpacing=0.125']"
SDC_NS_CLIM_TS_V1_m,time,['double'],"['nValues=12, evenlySpaced=false, averageSpacing=30 days 10h 54m 33s']"
SDC_NS_CLIM_TS_V1_s,depth,['double'],"['nValues=41, evenlySpaced=false, averageSpacing=17.5']"
SDC_NS_CLIM_TS_V1_s,latitude,['double'],"['nValues=109, evenlySpaced=true, averageSpacing=0.125']"
SDC_NS_CLIM_TS_V1_s,longitude,['double'],"['nValues=113, evenlySpaced=true, averageSpacing=0.125']"
SDC_NS_CLIM_TS_V1_s,time,['double'],"['nValues=24, evenlySpaced=false, averageSpacing=805 days 21h 54m 47s']"
SST_Anomalies_Caledonie,latitude,['float'],"['nValues=1300, evenlySpaced=true, averageSpacing=0.01']"
SST_Anomalies_Caledonie,longitude,['float'],"['nValues=2001, evenlySpaced=true, averageSpacing=0.01']"
SST_Anomalies_Caledonie,time,['double'],"['nValues=96, evenlySpaced=false, averageSpacing=30 days 10h 21m 28s']"
gebco2021,latitude,['double'],"['nValues=43200, evenlySpaced=true, averageSpacing=0.004166666666666667']"
gebco2021,longitude,['double'],"['nValues=86400, evenlySpaced=true, averageSpacing=0.004166666666666667']"
histo_coord,latitude,['float'],"['nValues=720, evenlySpaced=false, averageSpacing=0.08333378303198886']"
histo_coord,longitude,['float'],"['nValues=660, evenlySpaced=false, averageSpacing=0.08333383915022761']"
histo_coord,time,['double'],"['nValues=1521, evenlySpaced=true, averageSpacing=1 day 0h 0m 57s']"
traj_lonlat_init_t0,frame,['int'],"['nValues=1522, evenlySpaced=true, averageSpacing=1.0']"
traj_lonlat_init_t0,ntraj,['int'],"['nValues=1889841, evenlySpaced=true, averageSpacing=1.0']"
