DatasetID,Variable Name,Data Type,Value
OS_ESTOC-C_200901_D_CTD-CHL,time,['double'],"['nValues=14244, evenlySpaced=false, averageSpacing=29m 9s']"
OS_ESTOC-C_200901_D_CTD-DO,depth,['float'],"['nValues=1, onlyValue=0.0']"
OS_ESTOC-C_200901_D_CTD-DO,time,['double'],"['nValues=14244, evenlySpaced=false, averageSpacing=29m 9s']"
OS_ESTOC-C_201001_D_CTD,depth,['float'],"['nValues=1, onlyValue=2500.0']"
OS_ESTOC-C_201001_D_CTD,time,['double'],"['nValues=12770, evenlySpaced=false, averageSpacing=30m 31s']"
OS_ESTOC-C_201001_D_CTD-CHL,depth,['float'],"['nValues=1, onlyValue=0.0']"
OS_ESTOC-C_201001_D_CTD-CHL,time,['double'],"['nValues=14244, evenlySpaced=false, averageSpacing=27m 21s']"
OS_ESTOC-C_201001_D_CTD-DO,depth,['float'],"['nValues=1, onlyValue=0.0']"
OS_ESTOC-C_201001_D_CTD-DO,time,['double'],"['nValues=12770, evenlySpaced=false, averageSpacing=30m 31s']"
OS_ESTOC-PLOCAN_2014_D_EuroSITES,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2014_D_EuroSITES,time,['double'],"['nValues=892, evenlySpaced=false, averageSpacing=5h 28m 39s']"
OS_ESTOC-PLOCAN_2014_D_FIXO3,time,['double'],"['nValues=4866, evenlySpaced=false, averageSpacing=1h 0m 4s']"
OS_ESTOC-PLOCAN_2015-2016_D-FIXO3,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2015-2016_D-FIXO3,time,['double'],"['nValues=32831, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-PLOCAN_2015_D_FIXO3,time,['double'],"['nValues=18540, evenlySpaced=false, averageSpacing=10m 0s']"
OS_ESTOC-PLOCAN_2016_D-FIXO3,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2016_D-FIXO3,time,['double'],"['nValues=5451, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC-PLOCAN_2017-2018_D-FIXO3,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2017-2018_D-FIXO3,time,['double'],"['nValues=6681, evenlySpaced=false, averageSpacing=34m 3s']"
OS_ESTOC-PLOCAN_2017_D-FIXO3,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2017_D-FIXO3,time,['double'],"['nValues=15939, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC-PLOCAN_2019_D_meteorology-surface,depth,['float'],"['nValues=1, onlyValue=3.0']"
OS_ESTOC-PLOCAN_2019_D_meteorology-surface,time,['double'],"['nValues=27149, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_1992_D_SEDIMENT_TRAP_CI_1_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=15 days 6h 18m 57s']"
OS_ESTOC_1992_D_SEDIMENT_TRAP_CI_1_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=15 days 6h 18m 57s']"
OS_ESTOC_1993_D_SEDIMENT_TRAP_CI_2_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=9 days 12h 37m 54s']"
OS_ESTOC_1993_D_SEDIMENT_TRAP_CI_2_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=9 days 12h 37m 54s']"
OS_ESTOC_1993_D_SEDIMENT_TRAP_CI_3_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=20 days 11h 22m 6s']"
OS_ESTOC_1993_D_SEDIMENT_TRAP_CI_3_3060m,time,['double'],"['nValues=19, evenlySpaced=false, averageSpacing=20 days 10h 40m 0s']"
OS_ESTOC_1993_D_SEDIMENT_TRAP_CI_3_750m,time,['double'],"['nValues=6, evenlySpaced=false, averageSpacing=19 days']"
OS_ESTOC_1994_D_SEDIMENT_TRAP_CI_4_1050m,time,['double'],"['nValues=10, evenlySpaced=false, averageSpacing=8 days 10h 40m 0s']"
OS_ESTOC_1994_D_SEDIMENT_TRAP_CI_4_3060m,time,['double'],"['nValues=10, evenlySpaced=false, averageSpacing=8 days 10h 40m 0s']"
OS_ESTOC_1994_D_SEDIMENT_TRAP_CI_4_750m,time,['double'],"['nValues=10, evenlySpaced=false, averageSpacing=8 days 10h 40m 0s']"
OS_ESTOC_1995_D_SEDIMENT_TRAP_CI_5_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=21 days 20h 12m 38s']"
OS_ESTOC_1997_D_SEDIMENT_TRAP_CI_7_3060m,time,['double'],"['nValues=19, evenlySpaced=true, averageSpacing=14 days']"
OS_ESTOC_1998_D_SEDIMENT_TRAP_CI_8_1050m,time,['double'],"['nValues=4, evenlySpaced=false, averageSpacing=9 days 16h 0m 0s']"
OS_ESTOC_1998_D_SEDIMENT_TRAP_CI_8_3060m,time,['double'],"['nValues=17, evenlySpaced=false, averageSpacing=9 days 12h 0m 0s']"
OS_ESTOC_1998_D_SEDIMENT_TRAP_CI_8_750m,time,['double'],"['nValues=17, evenlySpaced=false, averageSpacing=9 days 12h 0m 0s']"
OS_ESTOC_1998_D_SEDIMENT_TRAP_CI_9_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=9 days 11h 22m 6s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_10_1050m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=10 days 21h 28m 25s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_10_3060m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=10 days 21h 28m 25s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_10_750m,time,['double'],"['nValues=20, evenlySpaced=false, averageSpacing=10 days 21h 28m 25s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_11_750m,time,['double'],"['nValues=16, evenlySpaced=false, averageSpacing=9 days 17h 36m 0s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_12_1050m,time,['double'],"['nValues=6, evenlySpaced=true, averageSpacing=10 days']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_12_3060m,time,['double'],"['nValues=6, evenlySpaced=false, averageSpacing=9 days 14h 24m 0s']"
OS_ESTOC_1999_D_SEDIMENT_TRAP_CI_12_750m,time,['double'],"['nValues=6, evenlySpaced=true, averageSpacing=10 days']"
