DatasetID,Attribute Name,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,valid_max,JULD_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,MOLAR_DOXY_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,POSITION_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,PRES,['float'],['12000.0']
OceanGlidersGDACTrajectories,valid_max,PRES_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,PSAL,['float'],['41.0']
OceanGlidersGDACTrajectories,valid_max,PSAL_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,TEMP,['float'],['40.0']
OceanGlidersGDACTrajectories,valid_max,TEMP_DOXY_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,TEMP_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,TIME_QC,['byte'],['9']
OceanGlidersGDACTrajectories,valid_max,latitude,['double'],['90.0']
OceanGlidersGDACTrajectories,valid_max,longitude,['double'],['180.0']
OceanGlidersGDACTrajectories,valid_max,time,['double'],['90000.0']
OceanGlidersGDACTrajectories,valid_min,CHLA_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,CNDC,['float'],['0.0']
OceanGlidersGDACTrajectories,valid_min,CNDC_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,JULD,['double'],['0.0']
OceanGlidersGDACTrajectories,valid_min,JULD_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,MOLAR_DOXY_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,POSITION_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,PRES,['float'],['0.0']
OceanGlidersGDACTrajectories,valid_min,PRES_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,PSAL,['float'],['2.0']
OceanGlidersGDACTrajectories,valid_min,PSAL_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,TEMP,['float'],['-2.5']
OceanGlidersGDACTrajectories,valid_min,TEMP_DOXY_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,TEMP_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,TIME_QC,['byte'],['0']
OceanGlidersGDACTrajectories,valid_min,latitude,['double'],['-90.0']
OceanGlidersGDACTrajectories,valid_min,longitude,['double'],['-180.0']
OceanGlidersGDACTrajectories,valid_min,time,['double'],['0.0']
